Pattern,Engine,Input_Size,Time_ns,Matches
Simple/vowels,PCRE2,128,87.23,10000
Simple/vowels,Hyperscan,128,379.68,10000
Simple/vowels,std::regex,128,2464.54,2000
Simple/vowels,CTRE,256,523.3,10000
Simple/vowels,RE2,256,408.61,10000
Simple/vowels,PCRE2,256,155.2,10000
Simple/vowels,Hyperscan,256,664.01,10000
Simple/vowels,std::regex,256,3728.29,2000
Simple/vowels,CTRE,512,1049.32,10000
Simple/vowels,RE2,512,796.18,10000
Simple/vowels,PCRE2,512,298.82,10000
Simple/vowels,Hyperscan,512,1208.89,10000
Simple/vowels,std::regex,512,7587.75,2000
Simple/vowels,CTRE,1024,2098.6,10000
Simple/vowels,RE2,1024,1484.6,10000
Simple/vowels,PCRE2,1024,577.09,10000
Simple/vowels,Hyperscan,1024,2304.83,10000
Simple/vowels,std::regex,1024,20845.91,2000
Simple/vowels,CTRE,2048,4518.13,10000
Simple/vowels,RE2,2048,2923.9,10000
Simple/vowels,PCRE2,2048,1128.83,10000
Simple/vowels,Hyperscan,2048,4509.77,10000
Simple/vowels,std::regex,2048,41897.89,2000
Simple/vowels,CTRE,4096,8370.27,10000
Simple/vowels,RE2,4096,5793.27,10000
Simple/vowels,PCRE2,4096,2227.75,10000
Simple/vowels,Hyperscan,4096,8892.77,10000
Simple/vowels,std::regex,4096,96098.01,2000
Simple/vowels,CTRE,8192,16649.36,10000
Simple/vowels,RE2,8192,11765.12,10000
Simple/vowels,PCRE2,8192,4425.41,10000
Simple/vowels,Hyperscan,8192,17670.77,10000
Simple/vowels,std::regex,8192,222563.41,2000
Simple/vowels,CTRE,16384,35889.05,10000
Simple/vowels,RE2,16384,23014.85,10000
Simple/vowels,PCRE2,16384,8832.14,10000
Simple/vowels,Hyperscan,16384,35275.06,10000
Simple/vowels,CTRE,32768,66704.03,10000
Simple/vowels,RE2,32768,46635.79,10000
Simple/vowels,PCRE2,32768,17653.06,10000
Simple/vowels,Hyperscan,32768,70400.72,10000
Simple/alphanumeric,CTRE,16,17.29,10000
Simple/alphanumeric,RE2,16,74.15,10000
Simple/alphanumeric,PCRE2,16,26.49,10000
Simple/alphanumeric,Hyperscan,16,53.0,10000
Simple/alphanumeric,std::regex,16,253.63,2000
Simple/alphanumeric,CTRE,32,36.1,10000
Simple/alphanumeric,RE2,32,93.49,10000
Simple/alphanumeric,PCRE2,32,34.44,10000
Simple/alphanumeric,Hyperscan,32,85.14,10000
Simple/alphanumeric,std::regex,32,677.5,2000
Simple/alphanumeric,CTRE,64,83.11,10000
Simple/alphanumeric,RE2,64,137.93,10000
Simple/alphanumeric,PCRE2,64,52.31,10000
Simple/alphanumeric,Hyperscan,64,93.73,10000
Simple/alphanumeric,std::regex,64,1180.32,2000
Simple/alphanumeric,CTRE,128,186.72,10000
Simple/alphanumeric,RE2,128,230.77,10000
Simple/alphanumeric,PCRE2,128,86.45,10000
Simple/alphanumeric,Hyperscan,128,107.08,10000
Simple/alphanumeric,std::regex,128,2448.58,2000
Simple/alphanumeric,CTRE,256,396.46,10000
Simple/alphanumeric,RE2,256,437.17,10000
Simple/alphanumeric,PCRE2,256,157.27,10000
Simple/alphanumeric,Hyperscan,256,174.88,10000
Simple/alphanumeric,std::regex,256,4730.53,2000
Simple/alphanumeric,CTRE,512,807.94,10000
Simple/alphanumeric,RE2,512,767.97,10000
Simple/alphanumeric,PCRE2,512,299.08,10000
Simple/alphanumeric,Hyperscan,512,311.33,10000
Simple/alphanumeric,std::regex,512,9679.32,2000
Simple/alphanumeric,CTRE,1024,1616.47,10000
Simple/alphanumeric,RE2,1024,1495.93,10000
Simple/alphanumeric,PCRE2,1024,575.34,10000
Simple/alphanumeric,Hyperscan,1024,586.27,10000
Simple/alphanumeric,std::regex,1024,20551.55,2000
Simple/alphanumeric,CTRE,2048,3208.53,10000
Simple/alphanumeric,RE2,2048,2927.69,10000
Simple/alphanumeric,PCRE2,2048,1124.74,10000
Simple/alphanumeric,Hyperscan,2048,1135.48,10000
Simple/alphanumeric,std::regex,2048,41869.7,2000
Simple/alphanumeric,CTRE,4096,6452.01,10000
Simple/alphanumeric,RE2,4096,5781.79,10000
Simple/alphanumeric,PCRE2,4096,2229.02,10000
Simple/alphanumeric,Hyperscan,4096,2229.8,10000
Simple/alphanumeric,std::regex,4096,99015.15,2000
