Pattern,Engine,Input_Size,Time_ns,Matches
Simple/vowels,CTRE-SIMD,16384,528.15,10000
Simple/vowels,RE2,16384,23023.7,10000
Simple/vowels,PCRE2,16384,8844.78,10000
Simple/vowels,Hyperscan,16384,35328.93,10000
Simple/vowels,CTRE-SIMD,32768,1095.18,10000
Simple/vowels,RE2,32768,46474.05,10000
Simple/vowels,PCRE2,32768,17646.53,10000
Simple/vowels,Hyperscan,32768,70472.19,10000
Simple/alphanumeric,CTRE-SIMD,16,17.6,10000
Simple/alphanumeric,RE2,16,74.91,10000
Simple/alphanumeric,PCRE2,16,26.63,10000
Simple/alphanumeric,Hyperscan,16,53.24,10000
Simple/alphanumeric,std::regex,16,342.71,2000
Simple/alphanumeric,CTRE-SIMD,32,2.4,10000
Simple/alphanumeric,RE2,32,95.86,10000
Simple/alphanumeric,PCRE2,32,35.46,10000
Simple/alphanumeric,Hyperscan,32,83.83,10000
Simple/alphanumeric,std::regex,32,703.06,2000
Simple/alphanumeric,CTRE-SIMD,64,2.92,10000
Simple/alphanumeric,RE2,64,140.4,10000
Simple/alphanumeric,PCRE2,64,51.93,10000
Simple/alphanumeric,Hyperscan,64,73.79,10000
Simple/alphanumeric,std::regex,64,1329.04,2000
Simple/alphanumeric,CTRE-SIMD,128,4.49,10000
Simple/alphanumeric,RE2,128,237.37,10000
Simple/alphanumeric,PCRE2,128,86.14,10000
Simple/alphanumeric,Hyperscan,128,106.62,10000
Simple/alphanumeric,std::regex,128,2663.87,2000
Simple/alphanumeric,CTRE-SIMD,256,7.72,10000
Simple/alphanumeric,RE2,256,409.24,10000
Simple/alphanumeric,PCRE2,256,155.5,10000
Simple/alphanumeric,Hyperscan,256,185.57,10000
Simple/alphanumeric,std::regex,256,5166.09,2000
Simple/alphanumeric,CTRE-SIMD,512,14.41,10000
Simple/alphanumeric,RE2,512,768.88,10000
Simple/alphanumeric,PCRE2,512,297.53,10000
Simple/alphanumeric,Hyperscan,512,311.28,10000
Simple/alphanumeric,std::regex,512,9593.01,2000
Simple/alphanumeric,CTRE-SIMD,1024,28.82,10000
Simple/alphanumeric,RE2,1024,1490.8,10000
Simple/alphanumeric,PCRE2,1024,575.88,10000
Simple/alphanumeric,Hyperscan,1024,587.33,10000
Simple/alphanumeric,std::regex,1024,18998.01,2000
Simple/alphanumeric,CTRE-SIMD,2048,56.19,10000
Simple/alphanumeric,RE2,2048,2927.21,10000
Simple/alphanumeric,PCRE2,2048,1125.47,10000
Simple/alphanumeric,Hyperscan,2048,1135.25,10000
Simple/alphanumeric,std::regex,2048,40575.07,2000
Simple/alphanumeric,CTRE-SIMD,4096,111.07,10000
Simple/alphanumeric,RE2,4096,6095.48,10000
Simple/alphanumeric,PCRE2,4096,2234.81,10000
Simple/alphanumeric,Hyperscan,4096,2230.75,10000
Simple/alphanumeric,std::regex,4096,97196.17,2000
Simple/alphanumeric,CTRE-SIMD,8192,221.27,10000
Simple/alphanumeric,RE2,8192,11643.84,10000
Simple/alphanumeric,PCRE2,8192,4427.87,10000
Simple/alphanumeric,Hyperscan,8192,4421.01,10000
Simple/alphanumeric,std::regex,8192,226199.15,2000
Simple/alphanumeric,CTRE-SIMD,16384,436.06,10000
Simple/alphanumeric,RE2,16384,23257.08,10000
Simple/alphanumeric,PCRE2,16384,8832.44,10000
Simple/alphanumeric,Hyperscan,16384,8809.02,10000
Simple/alphanumeric,CTRE-SIMD,32768,938.52,10000
Simple/alphanumeric,RE2,32768,46419.99,10000
Simple/alphanumeric,PCRE2,32768,17656.87,10000
Simple/alphanumeric,Hyperscan,32768,17561.37,10000
Complex/decimal,CTRE-SIMD,16,8.19,10000
Complex/decimal,RE2,16,75.65,10000
Complex/decimal,PCRE2,16,24.08,10000
Complex/decimal,Hyperscan,16,52.89,10000
Complex/decimal,std::regex,16,323.98,2000
Complex/decimal,CTRE-SIMD,32,11.15,10000
Complex/decimal,RE2,32,93.79,10000
Complex/decimal,PCRE2,32,29.03,10000
Complex/decimal,Hyperscan,32,85.71,10000
Complex/decimal,std::regex,32,593.67,2000
Complex/decimal,CTRE-SIMD,64,24.89,10000
Complex/decimal,RE2,64,139.38,10000
Complex/decimal,PCRE2,64,41.85,10000
Complex/decimal,Hyperscan,64,73.26,10000
Complex/decimal,std::regex,64,1320.38,2000
Complex/decimal,CTRE-SIMD,128,19.34,10000
Complex/decimal,RE2,128,227.26,10000
Complex/decimal,PCRE2,128,68.64,10000
Complex/decimal,Hyperscan,128,106.12,10000
Complex/decimal,std::regex,128,2699.96,2000
Complex/decimal,CTRE-SIMD,256,27.53,10000
Complex/decimal,RE2,256,405.75,10000
Complex/decimal,PCRE2,256,122.22,10000
Complex/decimal,Hyperscan,256,178.49,10000
Complex/decimal,std::regex,256,5700.8,2000
Complex/decimal,CTRE-SIMD,512,38.52,10000
Complex/decimal,RE2,512,778.0,10000
Complex/decimal,PCRE2,512,232.45,10000
Complex/decimal,Hyperscan,512,315.42,10000
Complex/decimal,std::regex,512,11424.23,2000
Complex/decimal,CTRE-SIMD,1024,57.33,10000
Complex/decimal,RE2,1024,1520.67,10000
Complex/decimal,PCRE2,1024,454.72,10000
Complex/decimal,Hyperscan,1024,596.64,10000
Complex/decimal,std::regex,1024,22481.66,2000
Complex/decimal,CTRE-SIMD,2048,87.18,10000
Complex/decimal,RE2,2048,2937.09,10000
Complex/decimal,PCRE2,2048,912.89,10000
Complex/decimal,Hyperscan,2048,1143.06,10000
Complex/decimal,std::regex,2048,49441.32,2000
Complex/decimal,CTRE-SIMD,4096,136.81,10000
Complex/decimal,RE2,4096,5853.75,10000
Complex/decimal,PCRE2,4096,1774.33,10000
Complex/decimal,Hyperscan,4096,2241.42,10000
Complex/decimal,std::regex,4096,99993.48,2000
Complex/decimal,CTRE-SIMD,8192,238.26,10000
Complex/decimal,RE2,8192,11617.43,10000
Complex/decimal,PCRE2,8192,3508.4,10000
Complex/decimal,Hyperscan,8192,4438.28,10000
Complex/decimal,std::regex,8192,235525.56,2000
Complex/decimal,CTRE-SIMD,16384,432.91,10000
Complex/decimal,RE2,16384,23161.49,10000
Complex/decimal,PCRE2,16384,6979.67,10000
Complex/decimal,Hyperscan,16384,8827.14,10000
Complex/decimal,CTRE-SIMD,32768,1282.25,10000
Complex/decimal,RE2,32768,46112.0,10000
Complex/decimal,PCRE2,32768,14174.85,10000
Complex/decimal,Hyperscan,32768,17645.99,10000
Complex/hex,CTRE-SIMD,16,29.63,10000
Complex/hex,RE2,16,75.41,10000
Complex/hex,PCRE2,16,26.42,10000
Complex/hex,Hyperscan,16,52.99,10000
Complex/hex,std::regex,16,338.89,2000
Complex/hex,CTRE-SIMD,32,2.39,10000
Complex/hex,RE2,32,93.02,10000
Complex/hex,PCRE2,32,34.59,10000
Complex/hex,Hyperscan,32,102.87,10000
Complex/hex,std::regex,32,692.25,2000
Complex/hex,CTRE-SIMD,64,2.92,10000
Complex/hex,RE2,64,137.11,10000
Complex/hex,PCRE2,64,52.22,10000
Complex/hex,Hyperscan,64,74.28,10000
Complex/hex,std::regex,64,1309.59,2000
Complex/hex,CTRE-SIMD,128,4.32,10000
Complex/hex,RE2,128,229.48,10000
Complex/hex,PCRE2,128,87.16,10000
Complex/hex,Hyperscan,128,106.28,10000
Complex/hex,std::regex,128,2620.6,2000
Complex/hex,CTRE-SIMD,256,7.59,10000
Complex/hex,RE2,256,413.44,10000
Complex/hex,PCRE2,256,155.47,10000
Complex/hex,Hyperscan,256,174.98,10000
Complex/hex,std::regex,256,4161.23,2000
Complex/hex,CTRE-SIMD,512,14.32,10000
Complex/hex,RE2,512,765.01,10000
Complex/hex,PCRE2,512,297.85,10000
Complex/hex,Hyperscan,512,312.53,10000
Complex/hex,std::regex,512,8599.28,2000
Complex/hex,CTRE-SIMD,1024,28.81,10000
Complex/hex,RE2,1024,1490.15,10000
Complex/hex,PCRE2,1024,575.68,10000
Complex/hex,Hyperscan,1024,586.51,10000
Complex/hex,std::regex,1024,18154.12,2000
Complex/hex,CTRE-SIMD,2048,57.84,10000
Complex/hex,RE2,2048,3004.52,10000
Complex/hex,PCRE2,2048,1127.37,10000
Complex/hex,Hyperscan,2048,1134.64,10000
Complex/hex,std::regex,2048,37702.71,2000
Complex/hex,CTRE-SIMD,4096,108.98,10000
Complex/hex,RE2,4096,5886.21,10000
Complex/hex,PCRE2,4096,2231.33,10000
Complex/hex,Hyperscan,4096,2227.94,10000
Complex/hex,std::regex,4096,94850.59,2000
Complex/hex,CTRE-SIMD,8192,221.33,10000
Complex/hex,RE2,8192,11741.41,10000
Complex/hex,PCRE2,8192,4429.77,10000
Complex/hex,Hyperscan,8192,4422.69,10000
Complex/hex,std::regex,8192,245589.98,2000
Complex/hex,CTRE-SIMD,16384,433.08,10000
Complex/hex,RE2,16384,23090.94,10000
Complex/hex,PCRE2,16384,8830.46,10000
Complex/hex,Hyperscan,16384,8802.45,10000
Complex/hex,CTRE-SIMD,32768,944.91,10000
Complex/hex,RE2,32768,46106.9,10000
Complex/hex,PCRE2,32768,17649.31,10000
Complex/hex,Hyperscan,32768,17576.38,10000
Complex/identifier,CTRE-SIMD,16,21.64,10000
Complex/identifier,RE2,16,75.51,10000
Complex/identifier,PCRE2,16,25.91,10000
Complex/identifier,Hyperscan,16,52.98,10000
Complex/identifier,std::regex,16,338.98,2000
Complex/identifier,CTRE-SIMD,32,52.46,10000
Complex/identifier,RE2,32,93.82,10000
Complex/identifier,PCRE2,32,35.73,10000
Complex/identifier,Hyperscan,32,110.67,10000
Complex/identifier,std::regex,32,691.14,2000
Complex/identifier,CTRE-SIMD,64,42.97,10000
Complex/identifier,RE2,64,140.12,10000
Complex/identifier,PCRE2,64,51.35,10000
Complex/identifier,Hyperscan,64,73.5,10000
Complex/identifier,std::regex,64,1317.53,2000
Complex/identifier,CTRE-SIMD,128,46.38,10000
Complex/identifier,RE2,128,228.09,10000
Complex/identifier,PCRE2,128,87.48,10000
Complex/identifier,Hyperscan,128,107.85,10000
Complex/identifier,std::regex,128,2606.47,2000
Complex/identifier,CTRE-SIMD,256,49.98,10000
Complex/identifier,RE2,256,407.21,10000
Complex/identifier,PCRE2,256,156.94,10000
Complex/identifier,Hyperscan,256,174.22,10000
Complex/identifier,std::regex,256,4193.29,2000
Complex/identifier,CTRE-SIMD,512,63.3,10000
Complex/identifier,RE2,512,764.0,10000
Complex/identifier,PCRE2,512,298.62,10000
Complex/identifier,Hyperscan,512,310.74,10000
Complex/identifier,std::regex,512,8417.06,2000
Complex/identifier,CTRE-SIMD,1024,92.02,10000
Complex/identifier,RE2,1024,1486.31,10000
Complex/identifier,PCRE2,1024,574.16,10000
Complex/identifier,Hyperscan,1024,586.73,10000
Complex/identifier,std::regex,1024,17282.69,2000
Complex/identifier,CTRE-SIMD,2048,131.32,10000
Complex/identifier,RE2,2048,2922.98,10000
Complex/identifier,PCRE2,2048,1124.68,10000
Complex/identifier,Hyperscan,2048,1136.61,10000
Complex/identifier,std::regex,2048,35309.59,2000
Complex/identifier,CTRE-SIMD,4096,200.01,10000
Complex/identifier,RE2,4096,5842.51,10000
Complex/identifier,PCRE2,4096,2227.48,10000
Complex/identifier,Hyperscan,4096,2230.16,10000
Complex/identifier,std::regex,4096,91907.06,2000
Complex/identifier,CTRE-SIMD,8192,333.74,10000
Complex/identifier,RE2,8192,11790.97,10000
Complex/identifier,PCRE2,8192,4434.71,10000
Complex/identifier,Hyperscan,8192,4428.63,10000
Complex/identifier,std::regex,8192,246351.17,2000
Complex/identifier,CTRE-SIMD,16384,604.77,10000
Complex/identifier,RE2,16384,23223.84,10000
Complex/identifier,PCRE2,16384,8840.1,10000
Complex/identifier,Hyperscan,16384,8795.55,10000
Complex/identifier,CTRE-SIMD,32768,1178.45,10000
Complex/identifier,RE2,32768,46470.76,10000
Complex/identifier,PCRE2,32768,17634.03,10000
Complex/identifier,Hyperscan,32768,17562.43,10000
Complex/url,CTRE-SIMD,16,6.72,10000
Complex/url,RE2,16,75.17,10000
Complex/url,PCRE2,16,20.33,10000
Complex/url,Hyperscan,16,53.28,10000
Complex/url,std::regex,16,231.68,2000
Complex/url,CTRE-SIMD,32,15.55,10000
Complex/url,RE2,32,92.72,10000
Complex/url,PCRE2,32,28.27,10000
Complex/url,Hyperscan,32,83.72,10000
Complex/url,std::regex,32,625.67,2000
Complex/url,CTRE-SIMD,64,10.56,10000
Complex/url,RE2,64,153.97,10000
Complex/url,PCRE2,64,44.59,10000
Complex/url,Hyperscan,64,145.31,10000
Complex/url,std::regex,64,1307.75,2000
Complex/url,CTRE-SIMD,128,15.42,10000
Complex/url,RE2,128,241.35,10000
Complex/url,PCRE2,128,78.49,10000
Complex/url,Hyperscan,128,362.09,10000
Complex/url,std::regex,128,2542.98,2000
Complex/url,CTRE-SIMD,256,17.47,10000
Complex/url,RE2,256,407.3,10000
Complex/url,PCRE2,256,152.8,10000
Complex/url,Hyperscan,256,645.02,10000
Complex/url,std::regex,256,4312.22,2000
Complex/url,CTRE-SIMD,512,21.78,10000
Complex/url,RE2,512,765.3,10000
Complex/url,PCRE2,512,290.79,10000
Complex/url,Hyperscan,512,1192.02,10000
Complex/url,std::regex,512,9111.64,2000
Complex/url,CTRE-SIMD,1024,34.63,10000
Complex/url,RE2,1024,1490.79,10000
Complex/url,PCRE2,1024,565.62,10000
Complex/url,Hyperscan,1024,2289.06,10000
Complex/url,std::regex,1024,20147.62,2000
Complex/url,CTRE-SIMD,2048,58.81,10000
Complex/url,RE2,2048,2953.56,10000
Complex/url,PCRE2,2048,1117.46,10000
Complex/url,Hyperscan,2048,4494.72,10000
Complex/url,std::regex,2048,40331.75,2000
Complex/url,CTRE-SIMD,4096,103.85,10000
Complex/url,RE2,4096,5970.15,10000
Complex/url,PCRE2,4096,2210.91,10000
Complex/url,Hyperscan,4096,8880.79,10000
Complex/url,std::regex,4096,98157.26,2000
Complex/url,CTRE-SIMD,8192,193.72,10000
Complex/url,RE2,8192,12064.41,10000
Complex/url,PCRE2,8192,4406.52,10000
Complex/url,Hyperscan,8192,17654.89,10000
Complex/url,std::regex,8192,239732.32,2000
Complex/url,CTRE-SIMD,16384,377.11,10000
Complex/url,RE2,16384,23955.49,10000
Complex/url,PCRE2,16384,8794.55,10000
Complex/url,Hyperscan,16384,35216.51,10000
Complex/url,CTRE-SIMD,32768,841.19,10000
Complex/url,RE2,32768,46126.88,10000
Complex/url,PCRE2,32768,17584.66,10000
Complex/url,Hyperscan,32768,70368.0,10000
Complex/key_value,CTRE-SIMD,16,8.21,10000
Complex/key_value,RE2,16,75.53,10000
Complex/key_value,PCRE2,16,23.37,10000
Complex/key_value,Hyperscan,16,54.53,10000
Complex/key_value,std::regex,16,330.49,2000
Complex/key_value,CTRE-SIMD,32,13.7,10000
Complex/key_value,RE2,32,93.63,10000
Complex/key_value,PCRE2,32,29.14,10000
Complex/key_value,Hyperscan,32,83.51,10000
Complex/key_value,std::regex,32,584.37,2000
Complex/key_value,CTRE-SIMD,64,24.98,10000
Complex/key_value,RE2,64,138.38,10000
Complex/key_value,PCRE2,64,42.2,10000
Complex/key_value,Hyperscan,64,73.38,10000
Complex/key_value,std::regex,64,1360.12,2000
Complex/key_value,CTRE-SIMD,128,19.62,10000
Complex/key_value,RE2,128,234.18,10000
Complex/key_value,PCRE2,128,70.18,10000
Complex/key_value,Hyperscan,128,106.6,10000
Complex/key_value,std::regex,128,2722.01,2000
Complex/key_value,CTRE-SIMD,256,28.44,10000
Complex/key_value,RE2,256,408.18,10000
Complex/key_value,PCRE2,256,122.88,10000
Complex/key_value,Hyperscan,256,175.28,10000
Complex/key_value,std::regex,256,5625.17,2000
Complex/key_value,CTRE-SIMD,512,31.62,10000
Complex/key_value,RE2,512,783.64,10000
Complex/key_value,PCRE2,512,229.17,10000
Complex/key_value,Hyperscan,512,311.58,10000
Complex/key_value,std::regex,512,11036.89,2000
Complex/key_value,CTRE-SIMD,1024,43.54,10000
Complex/key_value,RE2,1024,1493.95,10000
Complex/key_value,PCRE2,1024,450.67,10000
Complex/key_value,Hyperscan,1024,589.5,10000
Complex/key_value,std::regex,1024,23201.89,2000
Complex/key_value,CTRE-SIMD,2048,66.8,10000
Complex/key_value,RE2,2048,2949.25,10000
Complex/key_value,PCRE2,2048,893.68,10000
Complex/key_value,Hyperscan,2048,1136.27,10000
Complex/key_value,std::regex,2048,44928.24,2000
Complex/key_value,CTRE-SIMD,4096,109.42,10000
Complex/key_value,RE2,4096,5831.43,10000
Complex/key_value,PCRE2,4096,1770.49,10000
Complex/key_value,Hyperscan,4096,2230.57,10000
Complex/key_value,std::regex,4096,101304.98,2000
Complex/key_value,CTRE-SIMD,8192,191.29,10000
Complex/key_value,RE2,8192,11751.09,10000
