Pattern,Engine,Input_Size,Time_ns,Time_std,Time_min,Time_max,Time_median,Time_ci_lower,Time_ci_upper,Matches
RealWorld/ipv4,CTRE-SIMD,64,29.85,0.42,29.46,30.34,29.74,29.33,30.37,10000
RealWorld/ipv4,CTRE-SIMD,8192,188.25,1.31,186.70,189.95,188.37,186.62,189.88,10000
RealWorld/ipv4,Hyperscan,1024,586.33,0.71,585.44,586.98,586.59,585.45,587.22,10000
RealWorld/ipv4,Hyperscan,128,107.39,0.66,106.34,107.97,107.57,106.57,108.21,10000
RealWorld/ipv4,Hyperscan,16,52.96,0.26,52.76,53.40,52.83,52.64,53.28,10000
RealWorld/ipv4,Hyperscan,16384,8803.23,10.53,8791.61,8816.31,8799.40,8790.15,8816.30,10000
RealWorld/ipv4,Hyperscan,2048,1135.84,1.19,1134.79,1137.68,1135.18,1134.36,1137.32,10000
RealWorld/ipv4,Hyperscan,256,176.12,1.45,174.67,178.45,175.63,174.32,177.92,10000
RealWorld/ipv4,Hyperscan,32,84.12,1.22,82.69,86.02,84.14,82.61,85.63,10000
RealWorld/ipv4,Hyperscan,32768,17567.15,10.69,17554.44,17579.16,17567.63,17553.87,17580.42,10000
RealWorld/ipv4,Hyperscan,4096,2230.47,3.56,2227.51,2236.51,2229.21,2226.05,2234.88,10000
RealWorld/ipv4,Hyperscan,512,311.55,0.39,311.05,312.04,311.44,311.07,312.04,10000
RealWorld/ipv4,Hyperscan,64,74.33,0.95,73.42,75.55,74.12,73.14,75.52,10000
RealWorld/ipv4,Hyperscan,8192,4423.29,4.23,4420.07,4430.46,4422.45,4418.04,4428.55,10000
RealWorld/ipv4,PCRE2,1024,516.02,0.76,515.29,517.03,515.61,515.07,516.97,10000
RealWorld/ipv4,PCRE2,128,74.02,0.58,73.17,74.62,73.93,73.30,74.74,10000
RealWorld/ipv4,PCRE2,16,24.72,0.65,24.23,25.64,24.30,23.91,25.53,10000
RealWorld/ipv4,PCRE2,16384,7860.07,5.01,7851.84,7865.30,7861.05,7853.85,7866.29,10000
RealWorld/ipv4,PCRE2,2048,1014.78,1.97,1013.39,1018.15,1014.00,1012.34,1017.22,10000
RealWorld/ipv4,PCRE2,256,135.58,1.26,134.59,137.71,134.99,134.01,137.14,10000
RealWorld/ipv4,PCRE2,32,30.71,0.46,30.33,31.38,30.46,30.13,31.28,10000
RealWorld/ipv4,PCRE2,32768,15707.62,13.56,15689.70,15722.67,15707.94,15690.78,15724.46,10000
RealWorld/ipv4,PCRE2,4096,2005.16,2.82,2002.35,2009.68,2004.93,2001.66,2008.66,10000
RealWorld/ipv4,PCRE2,512,256.90,0.87,256.07,258.38,256.64,255.82,257.98,10000
RealWorld/ipv4,PCRE2,64,46.10,1.62,44.04,47.69,46.94,44.09,48.11,10000
RealWorld/ipv4,PCRE2,8192,3953.04,2.07,3951.41,3956.30,3952.05,3950.47,3955.60,10000
RealWorld/ipv4,RE2,1024,1502.42,7.35,1494.65,1511.21,1505.55,1493.30,1511.55,10000
RealWorld/ipv4,RE2,128,228.61,1.13,227.26,230.03,229.04,227.21,230.02,10000
RealWorld/ipv4,RE2,16,73.89,0.43,73.41,74.56,73.89,73.36,74.42,10000
RealWorld/ipv4,RE2,16384,22981.06,33.78,22958.93,23039.12,22964.28,22939.13,23023.00,10000
RealWorld/ipv4,RE2,2048,2930.15,9.12,2923.24,2945.84,2927.58,2918.83,2941.48,10000
RealWorld/ipv4,RE2,256,409.59,1.05,408.06,410.59,409.59,408.29,410.89,10000
RealWorld/ipv4,RE2,32,94.15,0.74,93.34,94.97,94.23,93.23,95.07,10000
RealWorld/ipv4,RE2,32768,46055.49,75.25,45971.00,46142.17,46018.85,45962.05,46148.93,10000
RealWorld/ipv4,RE2,4096,5788.54,5.20,5781.53,5794.45,5790.79,5782.08,5795.00,10000
RealWorld/ipv4,RE2,512,776.49,2.94,773.97,781.51,775.54,772.84,780.14,10000
RealWorld/ipv4,RE2,64,139.66,0.52,139.16,140.34,139.37,139.01,140.32,10000
RealWorld/ipv4,RE2,8192,11521.82,21.90,11504.56,11557.83,11515.64,11494.63,11549.01,10000
RealWorld/ipv4,std::regex,1024,22327.77,425.51,21865.41,22810.30,22516.87,21799.43,22856.11,2000
RealWorld/ipv4,std::regex,128,2719.71,54.51,2636.79,2769.18,2747.37,2652.03,2787.40,2000
RealWorld/ipv4,std::regex,16,280.33,5.01,273.57,286.54,279.26,274.11,286.55,2000
RealWorld/ipv4,std::regex,2048,48461.45,3563.07,45549.58,54677.21,47317.29,44037.31,52885.58,2000
RealWorld/ipv4,std::regex,256,5782.36,66.04,5672.48,5828.44,5817.40,5700.37,5864.36,2000
RealWorld/ipv4,std::regex,32,643.18,8.74,636.63,658.14,640.71,632.32,654.03,2000
RealWorld/ipv4,std::regex,4096,111081.74,3922.95,104507.30,114502.89,112103.61,106210.76,115952.73,2000
RealWorld/ipv4,std::regex,512,12073.48,1288.96,10721.48,14193.13,11823.27,10473.02,13673.93,2000
RealWorld/ipv4,std::regex,64,1216.58,13.64,1195.72,1230.60,1221.46,1199.64,1233.51,2000
RealWorld/ipv4,std::regex,8192,244950.35,10228.10,227330.85,253057.31,247284.32,232250.49,257650.21,2000
RealWorld/uuid,CTRE-SIMD,1024,77.11,1.83,74.29,78.89,77.92,74.84,79.39,10000
RealWorld/uuid,CTRE-SIMD,128,83.10,0.38,82.50,83.43,83.17,82.62,83.57,10000
RealWorld/uuid,CTRE-SIMD,16,22.96,0.49,22.15,23.45,23.00,22.35,23.56,10000
RealWorld/uuid,CTRE-SIMD,16384,424.33,4.21,420.85,431.64,422.90,419.11,429.56,10000
RealWorld/uuid,CTRE-SIMD,2048,118.37,0.30,118.06,118.82,118.24,118.00,118.75,10000
RealWorld/uuid,CTRE-SIMD,256,57.67,1.00,56.81,59.23,57.23,56.42,58.91,10000
RealWorld/uuid,CTRE-SIMD,32,46.89,1.23,45.59,48.23,46.81,45.36,48.42,10000
RealWorld/uuid,CTRE-SIMD,32768,886.86,2.40,883.33,889.03,887.50,883.87,889.84,10000
RealWorld/uuid,CTRE-SIMD,4096,154.88,2.24,152.58,158.58,154.59,152.10,157.66,10000
RealWorld/uuid,CTRE-SIMD,512,53.30,1.65,52.15,56.19,52.84,51.25,55.35,10000
