Running category: NonMatch
Pattern,Engine,Input_Size,Time_ns,Matches
NonMatch/url_on_digits,CTRE-Scalar,512,0.93,0
NonMatch/url_on_digits,RE2,512,44.79,0
NonMatch/url_on_digits,PCRE2,512,16.88,0
NonMatch/url_on_digits,Hyperscan,512,25.34,0
NonMatch/url_on_digits,std::regex,512,55.80,0
NonMatch/url_on_digits,CTRE-Scalar,1024,0.95,0
NonMatch/url_on_digits,RE2,1024,45.79,0
NonMatch/url_on_digits,PCRE2,1024,16.42,0
NonMatch/url_on_digits,Hyperscan,1024,25.87,0
NonMatch/url_on_digits,std::regex,1024,63.64,0
NonMatch/url_on_digits,CTRE-Scalar,2048,0.98,0
NonMatch/url_on_digits,RE2,2048,44.92,0
NonMatch/url_on_digits,PCRE2,2048,16.80,0
NonMatch/url_on_digits,Hyperscan,2048,26.03,0
NonMatch/url_on_digits,std::regex,2048,55.94,0
NonMatch/url_on_digits,CTRE-Scalar,4096,1.02,0
NonMatch/url_on_digits,RE2,4096,44.49,0
NonMatch/url_on_digits,PCRE2,4096,16.43,0
NonMatch/url_on_digits,Hyperscan,4096,25.81,0
NonMatch/url_on_digits,std::regex,4096,53.94,0
NonMatch/url_on_digits,CTRE-Scalar,8192,1.03,0
NonMatch/url_on_digits,RE2,8192,45.59,0
NonMatch/url_on_digits,PCRE2,8192,16.81,0
NonMatch/url_on_digits,Hyperscan,8192,26.47,0
NonMatch/url_on_digits,std::regex,8192,54.08,0
NonMatch/url_on_digits,CTRE-Scalar,16384,1.03,0
NonMatch/url_on_digits,RE2,16384,45.77,0
NonMatch/url_on_digits,PCRE2,16384,16.55,0
NonMatch/url_on_digits,Hyperscan,16384,25.26,0
NonMatch/url_on_digits,CTRE-Scalar,32768,1.08,0
NonMatch/url_on_digits,RE2,32768,44.90,0
NonMatch/url_on_digits,PCRE2,32768,16.45,0
NonMatch/url_on_digits,Hyperscan,32768,27.00,0
NonMatch/dom_suffix,CTRE-Scalar,16,19.67,0
NonMatch/dom_suffix,RE2,16,68.72,0
NonMatch/dom_suffix,PCRE2,16,17.19,0
NonMatch/dom_suffix,Hyperscan,16,29.03,0
NonMatch/dom_suffix,std::regex,16,344.44,0
NonMatch/dom_suffix,CTRE-Scalar,32,41.14,0
NonMatch/dom_suffix,RE2,32,91.47,0
NonMatch/dom_suffix,PCRE2,32,17.88,0
NonMatch/dom_suffix,Hyperscan,32,56.85,0
NonMatch/dom_suffix,std::regex,32,560.91,0
NonMatch/dom_suffix,CTRE-Scalar,64,86.78,0
NonMatch/dom_suffix,RE2,64,138.45,0
NonMatch/dom_suffix,PCRE2,64,17.55,0
NonMatch/dom_suffix,Hyperscan,64,115.63,0
NonMatch/dom_suffix,std::regex,64,1249.98,0
NonMatch/dom_suffix,CTRE-Scalar,128,185.25,0
NonMatch/dom_suffix,RE2,128,225.68,0
NonMatch/dom_suffix,PCRE2,128,18.79,0
NonMatch/dom_suffix,Hyperscan,128,82.01,0
NonMatch/dom_suffix,std::regex,128,3435.68,0
NonMatch/dom_suffix,CTRE-Scalar,256,373.41,0
NonMatch/dom_suffix,RE2,256,402.54,0
NonMatch/dom_suffix,PCRE2,256,23.13,0
NonMatch/dom_suffix,Hyperscan,256,82.77,0
NonMatch/dom_suffix,std::regex,256,7672.13,0
NonMatch/dom_suffix,CTRE-Scalar,512,755.32,0
NonMatch/dom_suffix,RE2,512,772.90,0
NonMatch/dom_suffix,PCRE2,512,31.85,0
NonMatch/dom_suffix,Hyperscan,512,89.24,0
NonMatch/dom_suffix,std::regex,512,14302.02,0
NonMatch/dom_suffix,CTRE-Scalar,1024,1599.67,0
NonMatch/dom_suffix,RE2,1024,1489.34,0
NonMatch/dom_suffix,PCRE2,1024,48.50,0
NonMatch/dom_suffix,Hyperscan,1024,103.96,0
NonMatch/dom_suffix,std::regex,1024,27878.22,0
NonMatch/dom_suffix,CTRE-Scalar,2048,3496.30,0
NonMatch/dom_suffix,RE2,2048,2907.10,0
NonMatch/dom_suffix,PCRE2,2048,85.74,0
NonMatch/dom_suffix,Hyperscan,2048,128.29,0
NonMatch/dom_suffix,std::regex,2048,60595.87,0
NonMatch/dom_suffix,CTRE-Scalar,4096,6845.07,0
NonMatch/dom_suffix,RE2,4096,5773.27,0
NonMatch/dom_suffix,PCRE2,4096,165.18,0
NonMatch/dom_suffix,Hyperscan,4096,176.06,0
NonMatch/dom_suffix,std::regex,4096,126977.86,0
NonMatch/dom_suffix,CTRE-Scalar,8192,14218.85,0
NonMatch/dom_suffix,RE2,8192,11519.59,0
NonMatch/dom_suffix,PCRE2,8192,306.46,0
NonMatch/dom_suffix,Hyperscan,8192,270.25,0
