Running category: NonMatch
Pattern,Engine,Input_Size,Time_ns,Matches
NonMatch/letters_on_digits,PCRE2,16384,16.50,0
NonMatch/letters_on_digits,Hyperscan,16384,27.61,0
NonMatch/letters_on_digits,CTRE,32768,1.68,0
NonMatch/letters_on_digits,RE2,32768,45.94,0
NonMatch/letters_on_digits,PCRE2,32768,16.52,0
NonMatch/letters_on_digits,Hyperscan,32768,29.51,0
NonMatch/url_on_digits,CTRE,16,0.83,0
NonMatch/url_on_digits,RE2,16,26.42,0
NonMatch/url_on_digits,PCRE2,16,16.50,0
NonMatch/url_on_digits,Hyperscan,16,12.32,0
NonMatch/url_on_digits,std::regex,16,53.72,0
NonMatch/url_on_digits,CTRE,32,0.85,0
NonMatch/url_on_digits,RE2,32,45.10,0
NonMatch/url_on_digits,PCRE2,32,16.54,0
NonMatch/url_on_digits,Hyperscan,32,12.32,0
NonMatch/url_on_digits,std::regex,32,56.91,0
NonMatch/url_on_digits,CTRE,64,0.95,0
NonMatch/url_on_digits,RE2,64,43.98,0
NonMatch/url_on_digits,PCRE2,64,16.51,0
NonMatch/url_on_digits,Hyperscan,64,12.40,0
NonMatch/url_on_digits,std::regex,64,53.71,0
NonMatch/url_on_digits,CTRE,128,0.88,0
NonMatch/url_on_digits,RE2,128,45.66,0
NonMatch/url_on_digits,PCRE2,128,16.58,0
NonMatch/url_on_digits,Hyperscan,128,25.26,0
NonMatch/url_on_digits,std::regex,128,54.65,0
NonMatch/url_on_digits,CTRE,256,1.03,0
NonMatch/url_on_digits,RE2,256,43.98,0
NonMatch/url_on_digits,PCRE2,256,16.52,0
NonMatch/url_on_digits,Hyperscan,256,25.15,0
NonMatch/url_on_digits,std::regex,256,54.19,0
NonMatch/url_on_digits,CTRE,512,0.93,0
NonMatch/url_on_digits,RE2,512,44.26,0
NonMatch/url_on_digits,PCRE2,512,16.54,0
NonMatch/url_on_digits,Hyperscan,512,25.29,0
NonMatch/url_on_digits,std::regex,512,60.53,0
NonMatch/url_on_digits,CTRE,1024,0.95,0
