Running category: NonMatch
Pattern,Engine,Input_Size,Time_ns,Matches
NonMatch/letters_on_digits,PCRE2,4096,17.13,0
NonMatch/letters_on_digits,Hyperscan,4096,26.80,0
NonMatch/letters_on_digits,std::regex,4096,56.44,0
NonMatch/letters_on_digits,CTRE-SIMD,8192,1.40,0
NonMatch/letters_on_digits,RE2,8192,46.28,0
NonMatch/letters_on_digits,PCRE2,8192,16.31,0
NonMatch/letters_on_digits,Hyperscan,8192,27.47,0
NonMatch/letters_on_digits,std::regex,8192,52.79,0
NonMatch/letters_on_digits,CTRE-SIMD,16384,1.35,0
NonMatch/letters_on_digits,RE2,16384,45.88,0
NonMatch/letters_on_digits,PCRE2,16384,16.33,0
NonMatch/letters_on_digits,Hyperscan,16384,26.98,0
NonMatch/letters_on_digits,CTRE-SIMD,32768,1.33,0
NonMatch/letters_on_digits,RE2,32768,46.80,0
NonMatch/letters_on_digits,PCRE2,32768,16.32,0
NonMatch/letters_on_digits,Hyperscan,32768,28.31,0
NonMatch/url_on_digits,CTRE-SIMD,16,0.79,0
NonMatch/url_on_digits,RE2,16,26.30,0
NonMatch/url_on_digits,PCRE2,16,16.28,0
NonMatch/url_on_digits,Hyperscan,16,12.26,0
NonMatch/url_on_digits,std::regex,16,54.68,0
NonMatch/url_on_digits,CTRE-SIMD,32,0.81,0
NonMatch/url_on_digits,RE2,32,45.98,0
NonMatch/url_on_digits,PCRE2,32,16.32,0
NonMatch/url_on_digits,Hyperscan,32,12.40,0
NonMatch/url_on_digits,std::regex,32,54.67,0
NonMatch/url_on_digits,CTRE-SIMD,64,0.93,0
NonMatch/url_on_digits,RE2,64,44.16,0
NonMatch/url_on_digits,PCRE2,64,16.32,0
NonMatch/url_on_digits,Hyperscan,64,12.35,0
NonMatch/url_on_digits,std::regex,64,54.66,0
NonMatch/url_on_digits,CTRE-SIMD,128,0.85,0
NonMatch/url_on_digits,RE2,128,44.66,0
NonMatch/url_on_digits,PCRE2,128,16.31,0
NonMatch/url_on_digits,Hyperscan,128,25.14,0
NonMatch/url_on_digits,std::regex,128,54.71,0
NonMatch/url_on_digits,CTRE-SIMD,256,0.88,0
